source_label,run,tick,timestamp_ms,symbol,symbol_family,family_action,action,raw_action,outcome_event,phase_time_state,episode_relation,phase_active,phase_age,finite_phase_age,phase_distance,episode_binding_pressure,episode_release_pressure,bars_held,event_reward,reward,best_action_training,sehen_form_flow,hoeren_energy_tone,fuehlen_mcm_coherence,passive_only,influences_action,is_gate,is_motoric,time_sentence
basis_probe15,168,1,1767480300000000,dio_0cgnxn5,dio_0cgn,dio_0cgn:WAIT,WAIT,WAIT,NO_TRADE,no_prior_phase,none,0,9999,,1.0,0.0,1.0,0,0.0,0.0,LONG,0.05444,0.055143,0.98456,1,0,0,0,basis_probe15 run=168 tick=1: dio_0cgn WAIT/NO_TRADE; Zeitspur=no_prior_phase; reward=0.000000.
followup6_probe16,178,4,1767491200000000,dio_0ojrw25,dio_0ojr,dio_0ojr:WAIT,WAIT,WAIT,NO_TRADE,no_prior_phase,none,0,9999,,1.0,0.0,1.0,0,0.0,0.0,SHORT,-0.724046,0.350179,0.30195,1,0,0,0,followup6_probe16 run=178 tick=4: dio_0ojr WAIT/NO_TRADE; Zeitspur=no_prior_phase; reward=0.000000.
followup6_probe16,178,5,1767491500000000,dio_04zirxa,dio_04zi,dio_04zi:WAIT,WAIT,WAIT,NO_TRADE,no_prior_phase,none,0,9999,,1.0,0.0,1.0,0,0.0,0.0,LONG,-0.984391,0.180164,0.949554,1,0,0,0,followup6_probe16 run=178 tick=5: dio_04zi WAIT/NO_TRADE; Zeitspur=no_prior_phase; reward=0.000000.
followup6_probe16,178,6,1767491800000000,dio_1qigcjr,dio_1qig,dio_1qig:WAIT,WAIT,WAIT,NO_TRADE,no_prior_phase,none,0,9999,,1.0,0.0,1.0,0,0.0,0.0,LONG,-0.874202,-0.011927,0.99666,1,0,0,0,followup6_probe16 run=178 tick=6: dio_1qig WAIT/NO_TRADE; Zeitspur=no_prior_phase; reward=0.000000.
followup6_probe16,178,7,1767492100000000,dio_0vc85jd,dio_0vc8,dio_0vc8:WAIT,WAIT,WAIT,NO_TRADE,no_prior_phase,none,0,9999,,1.0,0.0,1.0,0,0.0,0.0,SHORT,-0.483187,-0.183654,0.348577,1,0,0,0,followup6_probe16 run=178 tick=7: dio_0vc8 WAIT/NO_TRADE; Zeitspur=no_prior_phase; reward=0.000000.
followup6_probe16,178,8,1767492400000000,dio_1g7l35z,dio_1g7l,dio_1g7l:WAIT,WAIT,WAIT,NO_TRADE,no_prior_phase,none,0,9999,,1.0,0.0,1.0,0,0.0,0.0,SHORT,-0.077222,-0.13539,-0.237909,1,0,0,0,followup6_probe16 run=178 tick=8: dio_1g7l WAIT/NO_TRADE; Zeitspur=no_prior_phase; reward=0.000000.
followup6_probe16,178,9,1767492700000000,dio_1k0rwi1,dio_1k0r,dio_1k0r:WAIT,WAIT,WAIT,NO_TRADE,no_prior_phase,none,0,9999,,1.0,0.0,1.0,0,0.0,0.0,SHORT,0.25469,-0.105623,0.370425,1,0,0,0,followup6_probe16 run=178 tick=9: dio_1k0r WAIT/NO_TRADE; Zeitspur=no_prior_phase; reward=0.000000.
followup6_probe16,178,10,1767493000000000,dio_10kxynx,dio_10kx,dio_10kx:WAIT,WAIT,WAIT,NO_TRADE,no_prior_phase,none,0,9999,,1.0,0.0,1.0,0,0.0,0.0,SHORT,0.29976,-0.057187,0.383988,1,0,0,0,followup6_probe16 run=178 tick=10: dio_10kx WAIT/NO_TRADE; Zeitspur=no_prior_phase; reward=0.000000.
followup6_probe16,178,11,1767493300000000,dio_1f4vx6s,dio_1f4v,dio_1f4v:WAIT,WAIT,WAIT,NO_TRADE,no_prior_phase,none,0,9999,,1.0,0.0,1.0,0,0.0,0.0,SHORT,-0.011078,0.084406,-0.223634,1,0,0,0,followup6_probe16 run=178 tick=11: dio_1f4v WAIT/NO_TRADE; Zeitspur=no_prior_phase; reward=0.000000.
followup6_probe16,178,12,1767493600000000,dio_1w4m0ap,dio_1w4m,dio_1w4m:WAIT,WAIT,WAIT,NO_TRADE,no_prior_phase,none,0,9999,,1.0,0.0,1.0,0,0.0,0.0,SHORT,-0.342458,0.107545,0.369887,1,0,0,0,followup6_probe16 run=178 tick=12: dio_1w4m WAIT/NO_TRADE; Zeitspur=no_prior_phase; reward=0.000000.
followup6_probe16,178,13,1767493900000000,dio_1vjg16d,dio_1vjg,dio_1vjg:WAIT,WAIT,WAIT,NO_TRADE,no_prior_phase,none,0,9999,,1.0,0.0,1.0,0,0.0,0.0,LONG,-0.595238,0.095716,0.9732,1,0,0,0,followup6_probe16 run=178 tick=13: dio_1vjg WAIT/NO_TRADE; Zeitspur=no_prior_phase; reward=0.000000.
followup6_probe16,178,14,1767494200000000,dio_1t73pqz,dio_1t73,dio_1t73:WAIT,WAIT,WAIT,NO_TRADE,no_prior_phase,none,0,9999,,1.0,0.0,1.0,0,0.0,0.0,SHORT,-0.37545,-0.152016,0.357435,1,0,0,0,followup6_probe16 run=178 tick=14: dio_1t73 WAIT/NO_TRADE; Zeitspur=no_prior_phase; reward=0.000000.
followup6_probe16,178,15,1767494500000000,dio_1q9bwwb,dio_1q9b,dio_1q9b:WAIT,WAIT,WAIT,NO_TRADE,no_prior_phase,none,0,9999,,1.0,0.0,1.0,0,0.0,0.0,SHORT,-0.0554,-0.113507,-0.231782,1,0,0,0,followup6_probe16 run=178 tick=15: dio_1q9b WAIT/NO_TRADE; Zeitspur=no_prior_phase; reward=0.000000.
followup6_probe16,178,16,1767494800000000,dio_0rb2qnk,dio_0rb2,dio_0rb2:WAIT,WAIT,WAIT,NO_TRADE,no_prior_phase,none,0,9999,,1.0,0.0,1.0,0,0.0,0.0,SHORT,0.033347,-0.051115,-0.214312,1,0,0,0,followup6_probe16 run=178 tick=16: dio_0rb2 WAIT/NO_TRADE; Zeitspur=no_prior_phase; reward=0.000000.
followup6_probe16,178,17,1767495100000000,dio_1jo7eef,dio_1jo7,dio_1jo7:WAIT,WAIT,WAIT,NO_TRADE,no_prior_phase,none,0,9999,,1.0,0.0,1.0,0,0.0,0.0,SHORT,-0.044569,0.140686,-0.239392,1,0,0,0,followup6_probe16 run=178 tick=17: dio_1jo7 WAIT/NO_TRADE; Zeitspur=no_prior_phase; reward=0.000000.
followup6_probe16,178,18,1767495400000000,dio_1w4m0ap,dio_1w4m,dio_1w4m:WAIT,WAIT,WAIT,NO_TRADE,no_prior_phase,none,0,9999,,1.0,0.0,1.0,0,0.0,0.0,LONG,-0.344651,0.165485,0.353664,1,0,0,0,followup6_probe16 run=178 tick=18: dio_1w4m WAIT/NO_TRADE; Zeitspur=no_prior_phase; reward=0.000000.
followup6_probe16,179,1,1767490300000000,dio_0cgnxn5,dio_0cgn,dio_0cgn:WAIT,WAIT,WAIT,NO_TRADE,no_prior_phase,none,0,9999,,1.0,0.0,1.0,0,0.0,0.0,SHORT,0.05444,0.055143,0.98456,1,0,0,0,followup6_probe16 run=179 tick=1: dio_0cgn WAIT/NO_TRADE; Zeitspur=no_prior_phase; reward=0.000000.
followup6_probe16,179,2,1767490600000000,dio_0fa9zle,dio_0fa9,dio_0fa9:WAIT,WAIT,WAIT,NO_TRADE,no_prior_phase,none,0,9999,,1.0,0.0,1.0,0,0.0,0.0,SHORT,-0.201426,0.360444,-0.300924,1,0,0,0,followup6_probe16 run=179 tick=2: dio_0fa9 WAIT/NO_TRADE; Zeitspur=no_prior_phase; reward=0.000000.
followup6_probe16,179,3,1767490900000000,dio_06bdgpn,dio_06bd,dio_06bd:WAIT,WAIT,WAIT,NO_TRADE,no_prior_phase,none,0,9999,,1.0,0.0,1.0,0,0.0,0.0,SHORT,-0.473624,0.373255,0.095489,1,0,0,0,followup6_probe16 run=179 tick=3: dio_06bd WAIT/NO_TRADE; Zeitspur=no_prior_phase; reward=0.000000.
followup6_probe16,179,4,1767491200000000,dio_0ojrw25,dio_0ojr,dio_0ojr:WAIT,WAIT,WAIT,NO_TRADE,no_prior_phase,none,0,9999,,1.0,0.0,1.0,0,0.0,0.0,SHORT,-0.724046,0.350179,0.30195,1,0,0,0,followup6_probe16 run=179 tick=4: dio_0ojr WAIT/NO_TRADE; Zeitspur=no_prior_phase; reward=0.000000.
followup6_probe16,179,5,1767491500000000,dio_04zirxa,dio_04zi,dio_04zi:WAIT,WAIT,WAIT,NO_TRADE,no_prior_phase,none,0,9999,,1.0,0.0,1.0,0,0.0,0.0,LONG,-0.984391,0.180164,0.949554,1,0,0,0,followup6_probe16 run=179 tick=5: dio_04zi WAIT/NO_TRADE; Zeitspur=no_prior_phase; reward=0.000000.
followup6_probe16,179,6,1767491800000000,dio_1qigcjr,dio_1qig,dio_1qig:WAIT,WAIT,WAIT,NO_TRADE,no_prior_phase,none,0,9999,,1.0,0.0,1.0,0,0.0,0.0,LONG,-0.874202,-0.011927,0.99666,1,0,0,0,followup6_probe16 run=179 tick=6: dio_1qig WAIT/NO_TRADE; Zeitspur=no_prior_phase; reward=0.000000.
followup6_probe16,179,7,1767492100000000,dio_0vc85jd,dio_0vc8,dio_0vc8:WAIT,WAIT,WAIT,NO_TRADE,no_prior_phase,none,0,9999,,1.0,0.0,1.0,0,0.0,0.0,SHORT,-0.483187,-0.183654,0.348577,1,0,0,0,followup6_probe16 run=179 tick=7: dio_0vc8 WAIT/NO_TRADE; Zeitspur=no_prior_phase; reward=0.000000.
followup6_probe16,179,8,1767492400000000,dio_1g7l35z,dio_1g7l,dio_1g7l:WAIT,WAIT,WAIT,NO_TRADE,no_prior_phase,none,0,9999,,1.0,0.0,1.0,0,0.0,0.0,SHORT,-0.077222,-0.13539,-0.237909,1,0,0,0,followup6_probe16 run=179 tick=8: dio_1g7l WAIT/NO_TRADE; Zeitspur=no_prior_phase; reward=0.000000.
followup6_probe16,179,9,1767492700000000,dio_1k0rwi1,dio_1k0r,dio_1k0r:WAIT,WAIT,WAIT,NO_TRADE,no_prior_phase,none,0,9999,,1.0,0.0,1.0,0,0.0,0.0,SHORT,0.25469,-0.105623,0.370425,1,0,0,0,followup6_probe16 run=179 tick=9: dio_1k0r WAIT/NO_TRADE; Zeitspur=no_prior_phase; reward=0.000000.
followup6_probe16,179,10,1767493000000000,dio_10kxynx,dio_10kx,dio_10kx:WAIT,WAIT,WAIT,NO_TRADE,no_prior_phase,none,0,9999,,1.0,0.0,1.0,0,0.0,0.0,SHORT,0.29976,-0.057187,0.383988,1,0,0,0,followup6_probe16 run=179 tick=10: dio_10kx WAIT/NO_TRADE; Zeitspur=no_prior_phase; reward=0.000000.
followup6_probe16,179,11,1767493300000000,dio_1f4vx6s,dio_1f4v,dio_1f4v:WAIT,WAIT,WAIT,NO_TRADE,no_prior_phase,none,0,9999,,1.0,0.0,1.0,0,0.0,0.0,SHORT,-0.011078,0.084406,-0.223634,1,0,0,0,followup6_probe16 run=179 tick=11: dio_1f4v WAIT/NO_TRADE; Zeitspur=no_prior_phase; reward=0.000000.
followup6_probe16,179,12,1767493600000000,dio_1w4m0ap,dio_1w4m,dio_1w4m:WAIT,WAIT,WAIT,NO_TRADE,no_prior_phase,none,0,9999,,1.0,0.0,1.0,0,0.0,0.0,SHORT,-0.342458,0.107545,0.369887,1,0,0,0,followup6_probe16 run=179 tick=12: dio_1w4m WAIT/NO_TRADE; Zeitspur=no_prior_phase; reward=0.000000.
followup6_probe16,179,13,1767493900000000,dio_1vjg16d,dio_1vjg,dio_1vjg:WAIT,WAIT,WAIT,NO_TRADE,no_prior_phase,none,0,9999,,1.0,0.0,1.0,0,0.0,0.0,LONG,-0.595238,0.095716,0.9732,1,0,0,0,followup6_probe16 run=179 tick=13: dio_1vjg WAIT/NO_TRADE; Zeitspur=no_prior_phase; reward=0.000000.
followup6_probe16,179,14,1767494200000000,dio_1t73pqz,dio_1t73,dio_1t73:WAIT,WAIT,WAIT,NO_TRADE,no_prior_phase,none,0,9999,,1.0,0.0,1.0,0,0.0,0.0,SHORT,-0.37545,-0.152016,0.357435,1,0,0,0,followup6_probe16 run=179 tick=14: dio_1t73 WAIT/NO_TRADE; Zeitspur=no_prior_phase; reward=0.000000.
followup6_probe16,179,15,1767494500000000,dio_1q9bwwb,dio_1q9b,dio_1q9b:WAIT,WAIT,WAIT,NO_TRADE,no_prior_phase,none,0,9999,,1.0,0.0,1.0,0,0.0,0.0,SHORT,-0.0554,-0.113507,-0.231782,1,0,0,0,followup6_probe16 run=179 tick=15: dio_1q9b WAIT/NO_TRADE; Zeitspur=no_prior_phase; reward=0.000000.
followup6_probe16,179,16,1767494800000000,dio_0rb2qnk,dio_0rb2,dio_0rb2:WAIT,WAIT,WAIT,NO_TRADE,no_prior_phase,none,0,9999,,1.0,0.0,1.0,0,0.0,0.0,SHORT,0.033347,-0.051115,-0.214312,1,0,0,0,followup6_probe16 run=179 tick=16: dio_0rb2 WAIT/NO_TRADE; Zeitspur=no_prior_phase; reward=0.000000.
followup6_probe16,179,17,1767495100000000,dio_1jo7eef,dio_1jo7,dio_1jo7:WAIT,WAIT,WAIT,NO_TRADE,no_prior_phase,none,0,9999,,1.0,0.0,1.0,0,0.0,0.0,SHORT,-0.044569,0.140686,-0.239392,1,0,0,0,followup6_probe16 run=179 tick=17: dio_1jo7 WAIT/NO_TRADE; Zeitspur=no_prior_phase; reward=0.000000.
followup6_probe16,179,18,1767495400000000,dio_1w4m0ap,dio_1w4m,dio_1w4m:WAIT,WAIT,WAIT,NO_TRADE,no_prior_phase,none,0,9999,,1.0,0.0,1.0,0,0.0,0.0,LONG,-0.344651,0.165485,0.353664,1,0,0,0,followup6_probe16 run=179 tick=18: dio_1w4m WAIT/NO_TRADE; Zeitspur=no_prior_phase; reward=0.000000.
followup6_probe18,177,1,1767600300000000,dio_1txvf64,dio_1txv,dio_1txv:SHORT,SHORT,SHORT,TP,no_prior_phase,none,0,9999,,1.0,0.0,1.0,1,1.0,1.0,SHORT,0.032622,0.039728,0.988876,1,0,0,0,followup6_probe18 run=177 tick=1: dio_1txv SHORT/TP; Zeitspur=no_prior_phase; reward=1.000000.
followup6_probe18,177,6,1767601800000000,dio_0arws0q,dio_0arw,dio_0arw:LONG,LONG,LONG,TP,executed_temporal_contact,different_contact,0,5,5,0.400801,0.0,1.0,2,1.0,1.0,LONG,-0.447325,-0.00536,0.398499,1,0,0,0,followup6_probe18 run=177 tick=6: dio_0arw LONG/TP; Zeitspur=executed_temporal_contact; reward=1.000000.
followup6_probe18,177,11,1767603300000000,dio_14xcnvd,dio_14xc,dio_14xc:WAIT,WAIT,LONG,NO_TRADE,active_afterimage_contact,same_episode,1,5,5,0.536011,0.536231,0.226664,0,0.0,0.0,LONG,0.822477,0.010545,0.997047,1,0,0,0,followup6_probe18 run=177 tick=11: dio_14xc WAIT/NO_TRADE; Zeitspur=active_afterimage_contact; reward=0.000000.
followup6_probe18,177,12,1767603600000000,dio_1vpirj0,dio_1vpi,dio_1vpi:SHORT,SHORT,SHORT,TP,executed_temporal_contact,different_contact,0,6,6,0.506345,0.0,1.0,3,1.0,1.0,SHORT,0.742634,-0.052832,0.985207,1,0,0,0,followup6_probe18 run=177 tick=12: dio_1vpi SHORT/TP; Zeitspur=executed_temporal_contact; reward=1.000000.
followup6_probe18,177,17,1767605100000000,dio_02qut94,dio_02qu,dio_02qu:LONG,LONG,LONG,TP,executed_temporal_contact,different_contact,0,5,5,0.373878,0.0,1.0,2,1.0,1.0,LONG,0.291659,0.053713,0.38496,1,0,0,0,followup6_probe18 run=177 tick=17: dio_02qu LONG/TP; Zeitspur=executed_temporal_contact; reward=1.000000.
followup6_probe18,178,1,1767600300000000,dio_1txvf64,dio_1txv,dio_1txv:SHORT,SHORT,SHORT,TP,no_prior_phase,none,0,9999,,1.0,0.0,1.0,1,1.0,1.0,SHORT,0.032622,0.039728,0.988876,1,0,0,0,followup6_probe18 run=178 tick=1: dio_1txv SHORT/TP; Zeitspur=no_prior_phase; reward=1.000000.
followup6_probe18,178,6,1767601800000000,dio_0arws0q,dio_0arw,dio_0arw:LONG,LONG,LONG,TP,executed_temporal_contact,different_contact,0,5,5,0.400801,0.0,1.0,2,1.0,1.0,LONG,-0.447325,-0.00536,0.398499,1,0,0,0,followup6_probe18 run=178 tick=6: dio_0arw LONG/TP; Zeitspur=executed_temporal_contact; reward=1.000000.
followup6_probe18,178,11,1767603300000000,dio_14xcnvd,dio_14xc,dio_14xc:WAIT,WAIT,LONG,NO_TRADE,active_afterimage_contact,same_episode,1,5,5,0.536011,0.536231,0.226666,0,0.0,0.0,LONG,0.822477,0.010545,0.997047,1,0,0,0,followup6_probe18 run=178 tick=11: dio_14xc WAIT/NO_TRADE; Zeitspur=active_afterimage_contact; reward=0.000000.
followup6_probe18,178,12,1767603600000000,dio_1vpirj0,dio_1vpi,dio_1vpi:SHORT,SHORT,SHORT,TP,executed_temporal_contact,different_contact,0,6,6,0.506345,0.0,1.0,3,1.0,1.0,SHORT,0.742634,-0.052832,0.985207,1,0,0,0,followup6_probe18 run=178 tick=12: dio_1vpi SHORT/TP; Zeitspur=executed_temporal_contact; reward=1.000000.
followup6_probe18,178,17,1767605100000000,dio_02qut94,dio_02qu,dio_02qu:LONG,LONG,LONG,TP,executed_temporal_contact,different_contact,0,5,5,0.373878,0.0,1.0,2,1.0,1.0,LONG,0.291659,0.053713,0.38496,1,0,0,0,followup6_probe18 run=178 tick=17: dio_02qu LONG/TP; Zeitspur=executed_temporal_contact; reward=1.000000.
followup6_probe18,179,1,1767600300000000,dio_1txvf64,dio_1txv,dio_1txv:SHORT,SHORT,SHORT,TP,no_prior_phase,none,0,9999,,1.0,0.0,1.0,1,1.0,1.0,SHORT,0.032622,0.039728,0.988876,1,0,0,0,followup6_probe18 run=179 tick=1: dio_1txv SHORT/TP; Zeitspur=no_prior_phase; reward=1.000000.
followup6_probe18,179,6,1767601800000000,dio_0arws0q,dio_0arw,dio_0arw:LONG,LONG,LONG,TP,executed_temporal_contact,different_contact,0,5,5,0.400801,0.0,1.0,2,1.0,1.0,LONG,-0.447325,-0.00536,0.398499,1,0,0,0,followup6_probe18 run=179 tick=6: dio_0arw LONG/TP; Zeitspur=executed_temporal_contact; reward=1.000000.
followup6_probe18,179,11,1767603300000000,dio_14xcnvd,dio_14xc,dio_14xc:WAIT,WAIT,LONG,NO_TRADE,active_afterimage_contact,same_episode,1,5,5,0.536011,0.536231,0.226668,0,0.0,0.0,LONG,0.822477,0.010545,0.997047,1,0,0,0,followup6_probe18 run=179 tick=11: dio_14xc WAIT/NO_TRADE; Zeitspur=active_afterimage_contact; reward=0.000000.
followup6_probe18,179,12,1767603600000000,dio_1vpirj0,dio_1vpi,dio_1vpi:SHORT,SHORT,SHORT,TP,executed_temporal_contact,different_contact,0,6,6,0.506345,0.0,1.0,3,1.0,1.0,SHORT,0.742634,-0.052832,0.985207,1,0,0,0,followup6_probe18 run=179 tick=12: dio_1vpi SHORT/TP; Zeitspur=executed_temporal_contact; reward=1.000000.
followup6_probe18,179,17,1767605100000000,dio_02qut94,dio_02qu,dio_02qu:LONG,LONG,LONG,TP,executed_temporal_contact,different_contact,0,5,5,0.373878,0.0,1.0,2,1.0,1.0,LONG,0.291659,0.053713,0.38496,1,0,0,0,followup6_probe18 run=179 tick=17: dio_02qu LONG/TP; Zeitspur=executed_temporal_contact; reward=1.000000.
